Disease,Gene,Drug,SMILES,SideEffect,TargetClass,Pathway,ApprovedForDisease
COVID-19,Gene1,Gefitinib,SMILES343,SideEffect47,TargetClass8,Pathway2,0
COVID-19,Gene71,Molnupiravir,SMILES210,SideEffect41,TargetClass4,Pathway9,1
Lung Cancer,Gene86,Gefitinib,SMILES389,SideEffect9,TargetClass17,Pathway12,1
Depression,Gene57,Levodopa,SMILES115,SideEffect30,TargetClass1,Pathway2,0
COVID-19,Gene67,Molnupiravir,SMILES413,SideEffect41,TargetClass2,Pathway2,1
Type 2 Diabetes,Gene50,Metformin,SMILES192,SideEffect46,TargetClass8,Pathway8,1
Parkinson's disease,Gene87,Carbidopa,SMILES428,SideEffect26,TargetClass4,Pathway10,1
Parkinson's disease,Gene31,Carbidopa,SMILES147,SideEffect2,TargetClass4,Pathway6,1
COVID-19,Gene74,Memantine,SMILES198,SideEffect42,TargetClass9,Pathway13,0
Breast Cancer,Gene57,Donepezil,SMILES286,SideEffect3,TargetClass14,Pathway13,0
Parkinson's disease,Gene77,Carbidopa,SMILES168,SideEffect28,TargetClass14,Pathway3,1
Lung Cancer,Gene6,Gefitinib,SMILES368,SideEffect18,TargetClass17,Pathway6,1
Lung Cancer,Gene24,Trastuzumab,SMILES343,SideEffect3,TargetClass4,Pathway13,0
Alzheimer's disease,Gene74,Memantine,SMILES232,SideEffect19,TargetClass16,Pathway13,1
Parkinson's disease,Gene53,Glipizide,SMILES255,SideEffect7,TargetClass1,Pathway10,0
Alzheimer's disease,Gene60,Memantine,SMILES90,SideEffect22,TargetClass12,Pathway11,1
Alzheimer's disease,Gene39,Donepezil,SMILES289,SideEffect29,TargetClass2,Pathway8,1
Type 2 Diabetes,Gene29,Trastuzumab,SMILES225,SideEffect16,TargetClass3,Pathway14,0
Breast Cancer,Gene15,Trastuzumab,SMILES334,SideEffect21,TargetClass7,Pathway1,1
Alzheimer's disease,Gene33,Tamoxifen,SMILES228,SideEffect22,TargetClass18,Pathway1,0
Breast Cancer,Gene14,Trastuzumab,SMILES73,SideEffect15,TargetClass3,Pathway2,1
Type 2 Diabetes,Gene19,Glipizide,SMILES490,SideEffect30,TargetClass3,Pathway9,1
Depression,Gene41,Fluoxetine,SMILES118,SideEffect36,TargetClass7,Pathway4,1
COVID-19,Gene41,Remdesivir,SMILES330,SideEffect10,TargetClass7,Pathway13,1
Depression,Gene98,Sertraline,SMILES303,SideEffect17,TargetClass7,Pathway6,1
Alzheimer's disease,Gene82,Remdesivir,SMILES384,SideEffect35,TargetClass15,Pathway12,0
Type 2 Diabetes,Gene40,Metformin,SMILES258,SideEffect19,TargetClass1,Pathway14,1
Alzheimer's disease,Gene85,Donepezil,SMILES69,SideEffect1,TargetClass13,Pathway9,1
Lung Cancer,Gene43,Gefitinib,SMILES222,SideEffect37,TargetClass14,Pathway14,1
Depression,Gene99,Sertraline,SMILES145,SideEffect28,TargetClass14,Pathway2,1
Lung Cancer,Gene30,Gefitinib,SMILES434,SideEffect22,TargetClass8,Pathway12,1
Lung Cancer,Gene68,Erlotinib,SMILES118,SideEffect42,TargetClass15,Pathway5,1
Alzheimer's disease,Gene70,Memantine,SMILES98,SideEffect1,TargetClass10,Pathway5,1
COVID-19,Gene55,Remdesivir,SMILES383,SideEffect22,TargetClass7,Pathway14,1
Alzheimer's disease,Gene29,Donepezil,SMILES223,SideEffect25,TargetClass19,Pathway2,1
Depression,Gene94,Molnupiravir,SMILES297,SideEffect30,TargetClass4,Pathway1,0
Alzheimer's disease,Gene42,Memantine,SMILES499,SideEffect14,TargetClass10,Pathway12,1
Lung Cancer,Gene61,Gefitinib,SMILES17,SideEffect40,TargetClass11,Pathway9,1
Alzheimer's disease,Gene5,Donepezil,SMILES341,SideEffect31,TargetClass14,Pathway5,1
Depression,Gene46,Donepezil,SMILES22,SideEffect23,TargetClass8,Pathway13,0
COVID-19,Gene31,Remdesivir,SMILES105,SideEffect18,TargetClass9,Pathway9,1
Lung Cancer,Gene25,Erlotinib,SMILES283,SideEffect7,TargetClass12,Pathway10,1
Alzheimer's disease,Gene65,Donepezil,SMILES69,SideEffect9,TargetClass12,Pathway6,1
COVID-19,Gene40,Remdesivir,SMILES165,SideEffect31,TargetClass17,Pathway9,1
Lung Cancer,Gene25,Memantine,SMILES201,SideEffect27,TargetClass8,Pathway11,0
Type 2 Diabetes,Gene27,Metformin,SMILES49,SideEffect9,TargetClass2,Pathway6,1
Lung Cancer,Gene14,Gefitinib,SMILES313,SideEffect37,TargetClass18,Pathway5,1
COVID-19,Gene16,Remdesivir,SMILES197,SideEffect2,TargetClass9,Pathway6,1
COVID-19,Gene38,Molnupiravir,SMILES129,SideEffect41,TargetClass4,Pathway9,1
Parkinson's disease,Gene89,Levodopa,SMILES219,SideEffect12,TargetClass4,Pathway13,1
Depression,Gene19,Fluoxetine,SMILES271,SideEffect25,TargetClass1,Pathway5,1
Lung Cancer,Gene18,Erlotinib,SMILES18,SideEffect9,TargetClass3,Pathway7,1
COVID-19,Gene3,Remdesivir,SMILES179,SideEffect42,TargetClass2,Pathway9,1
COVID-19,Gene88,Molnupiravir,SMILES495,SideEffect11,TargetClass13,Pathway4,1
Depression,Gene41,Sertraline,SMILES433,SideEffect17,TargetClass17,Pathway8,1
Parkinson's disease,Gene73,Levodopa,SMILES368,SideEffect33,TargetClass5,Pathway5,1
Depression,Gene56,Sertraline,SMILES256,SideEffect45,TargetClass17,Pathway4,1
Lung Cancer,Gene16,Erlotinib,SMILES144,SideEffect28,TargetClass19,Pathway8,1
Breast Cancer,Gene82,Tamoxifen,SMILES429,SideEffect11,TargetClass4,Pathway8,1
Type 2 Diabetes,Gene1,Memantine,SMILES245,SideEffect10,TargetClass15,Pathway7,0
Depression,Gene91,Sertraline,SMILES370,SideEffect26,TargetClass11,Pathway1,1
Alzheimer's disease,Gene43,Memantine,SMILES193,SideEffect45,TargetClass17,Pathway3,1
Parkinson's disease,Gene4,Fluoxetine,SMILES398,SideEffect15,TargetClass17,Pathway3,0
Breast Cancer,Gene19,Trastuzumab,SMILES44,SideEffect33,TargetClass6,Pathway3,1
Alzheimer's disease,Gene44,Donepezil,SMILES365,SideEffect29,TargetClass13,Pathway14,1
Alzheimer's disease,Gene77,Memantine,SMILES232,SideEffect42,TargetClass7,Pathway2,1
Type 2 Diabetes,Gene68,Metformin,SMILES29,SideEffect3,TargetClass1,Pathway14,1
Breast Cancer,Gene68,Memantine,SMILES59,SideEffect2,TargetClass10,Pathway11,0
Type 2 Diabetes,Gene54,Metformin,SMILES125,SideEffect3,TargetClass6,Pathway13,1
Alzheimer's disease,Gene46,Donepezil,SMILES134,SideEffect29,TargetClass19,Pathway2,1
Type 2 Diabetes,Gene51,Fluoxetine,SMILES190,SideEffect5,TargetClass19,Pathway3,0
Breast Cancer,Gene12,Trastuzumab,SMILES53,SideEffect20,TargetClass6,Pathway4,1
Breast Cancer,Gene25,Trastuzumab,SMILES107,SideEffect20,TargetClass18,Pathway9,1
Breast Cancer,Gene41,Trastuzumab,SMILES413,SideEffect39,TargetClass6,Pathway8,1
Parkinson's disease,Gene63,Donepezil,SMILES441,SideEffect21,TargetClass10,Pathway2,0
Parkinson's disease,Gene4,Carbidopa,SMILES52,SideEffect47,TargetClass7,Pathway1,1
COVID-19,Gene27,Remdesivir,SMILES457,SideEffect7,TargetClass16,Pathway10,1
Type 2 Diabetes,Gene74,Metformin,SMILES393,SideEffect29,TargetClass8,Pathway5,1
Breast Cancer,Gene38,Tamoxifen,SMILES161,SideEffect14,TargetClass16,Pathway1,1
Type 2 Diabetes,Gene63,Glipizide,SMILES321,SideEffect43,TargetClass12,Pathway14,1
COVID-19,Gene67,Remdesivir,SMILES389,SideEffect5,TargetClass19,Pathway11,1
Type 2 Diabetes,Gene11,Carbidopa,SMILES98,SideEffect7,TargetClass12,Pathway10,0
Breast Cancer,Gene40,Tamoxifen,SMILES450,SideEffect45,TargetClass7,Pathway9,1
Lung Cancer,Gene76,Erlotinib,SMILES8,SideEffect24,TargetClass12,Pathway2,1
Parkinson's disease,Gene62,Glipizide,SMILES84,SideEffect47,TargetClass7,Pathway11,0
Depression,Gene33,Sertraline,SMILES360,SideEffect29,TargetClass4,Pathway2,1
Alzheimer's disease,Gene97,Donepezil,SMILES383,SideEffect5,TargetClass8,Pathway11,1
Lung Cancer,Gene88,Gefitinib,SMILES246,SideEffect47,TargetClass5,Pathway7,1
COVID-19,Gene82,Molnupiravir,SMILES40,SideEffect34,TargetClass11,Pathway1,1
Depression,Gene27,Sertraline,SMILES394,SideEffect39,TargetClass10,Pathway14,1
Depression,Gene11,Sertraline,SMILES214,SideEffect18,TargetClass3,Pathway6,1
Type 2 Diabetes,Gene19,Metformin,SMILES28,SideEffect7,TargetClass13,Pathway6,1
Breast Cancer,Gene43,Trastuzumab,SMILES69,SideEffect16,TargetClass9,Pathway13,1
COVID-19,Gene37,Remdesivir,SMILES370,SideEffect3,TargetClass12,Pathway7,1
Depression,Gene41,Sertraline,SMILES456,SideEffect7,TargetClass4,Pathway10,1
Depression,Gene40,Fluoxetine,SMILES233,SideEffect5,TargetClass13,Pathway14,1
Alzheimer's disease,Gene3,Memantine,SMILES37,SideEffect45,TargetClass10,Pathway10,1
Type 2 Diabetes,Gene30,Glipizide,SMILES28,SideEffect20,TargetClass4,Pathway4,1
Breast Cancer,Gene2,Trastuzumab,SMILES222,SideEffect38,TargetClass7,Pathway7,1
Breast Cancer,Gene96,Tamoxifen,SMILES451,SideEffect48,TargetClass7,Pathway5,1
Parkinson's disease,Gene2,Carbidopa,SMILES381,SideEffect35,TargetClass11,Pathway7,1
Type 2 Diabetes,Gene91,Metformin,SMILES193,SideEffect5,TargetClass12,Pathway14,1
Alzheimer's disease,Gene35,Memantine,SMILES26,SideEffect4,TargetClass10,Pathway4,1
COVID-19,Gene52,Remdesivir,SMILES38,SideEffect46,TargetClass13,Pathway13,1
Alzheimer's disease,Gene76,Donepezil,SMILES256,SideEffect3,TargetClass14,Pathway3,1
Breast Cancer,Gene54,Levodopa,SMILES210,SideEffect23,TargetClass11,Pathway5,0
Alzheimer's disease,Gene70,Donepezil,SMILES319,SideEffect29,TargetClass11,Pathway14,1
Depression,Gene49,Molnupiravir,SMILES408,SideEffect39,TargetClass1,Pathway9,0
Lung Cancer,Gene73,Erlotinib,SMILES152,SideEffect39,TargetClass18,Pathway14,1
Depression,Gene95,Fluoxetine,SMILES272,SideEffect41,TargetClass14,Pathway9,1
Alzheimer's disease,Gene68,Donepezil,SMILES142,SideEffect29,TargetClass14,Pathway9,1
Lung Cancer,Gene40,Metformin,SMILES54,SideEffect2,TargetClass18,Pathway9,0
Parkinson's disease,Gene86,Levodopa,SMILES133,SideEffect2,TargetClass6,Pathway5,1
Parkinson's disease,Gene95,Levodopa,SMILES266,SideEffect47,TargetClass2,Pathway3,1
Breast Cancer,Gene28,Tamoxifen,SMILES50,SideEffect35,TargetClass9,Pathway8,1
COVID-19,Gene24,Molnupiravir,SMILES85,SideEffect39,TargetClass5,Pathway7,1
Lung Cancer,Gene47,Erlotinib,SMILES366,SideEffect29,TargetClass16,Pathway4,1
Type 2 Diabetes,Gene75,Metformin,SMILES6,SideEffect21,TargetClass1,Pathway3,1
Alzheimer's disease,Gene15,Memantine,SMILES275,SideEffect25,TargetClass10,Pathway2,1
Breast Cancer,Gene10,Trastuzumab,SMILES453,SideEffect39,TargetClass6,Pathway14,1
Lung Cancer,Gene60,Erlotinib,SMILES235,SideEffect27,TargetClass3,Pathway13,1
Depression,Gene14,Sertraline,SMILES447,SideEffect48,TargetClass17,Pathway12,1
Parkinson's disease,Gene3,Levodopa,SMILES418,SideEffect7,TargetClass9,Pathway11,1
Lung Cancer,Gene54,Remdesivir,SMILES342,SideEffect43,TargetClass6,Pathway7,0
Breast Cancer,Gene78,Molnupiravir,SMILES236,SideEffect33,TargetClass19,Pathway2,0
Depression,Gene16,Glipizide,SMILES182,SideEffect31,TargetClass10,Pathway9,0
Parkinson's disease,Gene63,Levodopa,SMILES122,SideEffect26,TargetClass3,Pathway4,1
COVID-19,Gene16,Molnupiravir,SMILES375,SideEffect15,TargetClass9,Pathway4,1
Type 2 Diabetes,Gene44,Glipizide,SMILES368,SideEffect12,TargetClass3,Pathway2,1
Parkinson's disease,Gene87,Sertraline,SMILES262,SideEffect19,TargetClass12,Pathway10,0
Lung Cancer,Gene92,Gefitinib,SMILES205,SideEffect43,TargetClass10,Pathway7,1
Lung Cancer,Gene49,Gefitinib,SMILES169,SideEffect22,TargetClass2,Pathway3,1
Breast Cancer,Gene58,Tamoxifen,SMILES345,SideEffect33,TargetClass8,Pathway1,1
Breast Cancer,Gene49,Metformin,SMILES228,SideEffect34,TargetClass5,Pathway10,0
Depression,Gene19,Sertraline,SMILES346,SideEffect26,TargetClass14,Pathway12,1
Type 2 Diabetes,Gene56,Metformin,SMILES66,SideEffect25,TargetClass13,Pathway4,1
Breast Cancer,Gene7,Tamoxifen,SMILES17,SideEffect41,TargetClass19,Pathway9,1
COVID-19,Gene34,Remdesivir,SMILES144,SideEffect11,TargetClass1,Pathway12,1
Type 2 Diabetes,Gene2,Remdesivir,SMILES337,SideEffect7,TargetClass16,Pathway1,0
Alzheimer's disease,Gene24,Memantine,SMILES239,SideEffect21,TargetClass10,Pathway14,1
Lung Cancer,Gene11,Erlotinib,SMILES243,SideEffect32,TargetClass19,Pathway10,1
Breast Cancer,Gene10,Gefitinib,SMILES415,SideEffect33,TargetClass5,Pathway13,0
Breast Cancer,Gene32,Trastuzumab,SMILES309,SideEffect44,TargetClass5,Pathway3,1
Depression,Gene72,Glipizide,SMILES54,SideEffect20,TargetClass18,Pathway14,0
Depression,Gene39,Fluoxetine,SMILES13,SideEffect17,TargetClass9,Pathway8,1
Parkinson's disease,Gene15,Carbidopa,SMILES282,SideEffect18,TargetClass9,Pathway14,1
Depression,Gene50,Sertraline,SMILES478,SideEffect14,TargetClass6,Pathway4,1
Lung Cancer,Gene6,Remdesivir,SMILES146,SideEffect40,TargetClass9,Pathway1,0
Lung Cancer,Gene58,Erlotinib,SMILES13,SideEffect9,TargetClass6,Pathway7,1
Type 2 Diabetes,Gene60,Tamoxifen,SMILES311,SideEffect16,TargetClass3,Pathway10,0
COVID-19,Gene42,Remdesivir,SMILES222,SideEffect4,TargetClass10,Pathway11,1
Breast Cancer,Gene72,Tamoxifen,SMILES362,SideEffect26,TargetClass18,Pathway1,1
COVID-19,Gene38,Remdesivir,SMILES34,SideEffect46,TargetClass16,Pathway7,1
Type 2 Diabetes,Gene42,Glipizide,SMILES267,SideEffect11,TargetClass6,Pathway6,1
Breast Cancer,Gene67,Trastuzumab,SMILES89,SideEffect28,TargetClass15,Pathway1,1
Lung Cancer,Gene54,Erlotinib,SMILES118,SideEffect41,TargetClass5,Pathway11,1
COVID-19,Gene5,Donepezil,SMILES44,SideEffect16,TargetClass3,Pathway5,0
Depression,Gene67,Erlotinib,SMILES304,SideEffect22,TargetClass8,Pathway10,0
Lung Cancer,Gene3,Gefitinib,SMILES130,SideEffect10,TargetClass6,Pathway7,1
Alzheimer's disease,Gene76,Levodopa,SMILES281,SideEffect35,TargetClass1,Pathway5,0
Depression,Gene32,Fluoxetine,SMILES177,SideEffect21,TargetClass1,Pathway6,1
Lung Cancer,Gene11,Gefitinib,SMILES182,SideEffect10,TargetClass15,Pathway6,1
Parkinson's disease,Gene37,Carbidopa,SMILES297,SideEffect40,TargetClass4,Pathway4,1
COVID-19,Gene25,Gefitinib,SMILES12,SideEffect5,TargetClass2,Pathway5,0
Lung Cancer,Gene15,Erlotinib,SMILES187,SideEffect40,TargetClass4,Pathway12,1
Type 2 Diabetes,Gene44,Memantine,SMILES396,SideEffect19,TargetClass10,Pathway4,0
COVID-19,Gene66,Remdesivir,SMILES79,SideEffect38,TargetClass8,Pathway14,1
Type 2 Diabetes,Gene65,Carbidopa,SMILES365,SideEffect36,TargetClass7,Pathway14,0
Alzheimer's disease,Gene23,Memantine,SMILES135,SideEffect45,TargetClass14,Pathway9,1
COVID-19,Gene73,Molnupiravir,SMILES474,SideEffect12,TargetClass16,Pathway1,1
Depression,Gene41,Fluoxetine,SMILES36,SideEffect40,TargetClass15,Pathway14,1
Depression,Gene65,Sertraline,SMILES440,SideEffect40,TargetClass14,Pathway13,1
Lung Cancer,Gene67,Erlotinib,SMILES303,SideEffect30,TargetClass2,Pathway9,1
Parkinson's disease,Gene37,Fluoxetine,SMILES458,SideEffect41,TargetClass10,Pathway8,0
Breast Cancer,Gene7,Trastuzumab,SMILES137,SideEffect22,TargetClass4,Pathway4,1
Parkinson's disease,Gene29,Carbidopa,SMILES183,SideEffect37,TargetClass18,Pathway10,1
Alzheimer's disease,Gene58,Molnupiravir,SMILES69,SideEffect11,TargetClass13,Pathway11,0
Type 2 Diabetes,Gene23,Metformin,SMILES80,SideEffect46,TargetClass12,Pathway6,1
Depression,Gene7,Fluoxetine,SMILES238,SideEffect24,TargetClass3,Pathway10,1
Breast Cancer,Gene87,Tamoxifen,SMILES33,SideEffect4,TargetClass12,Pathway12,1
Alzheimer's disease,Gene59,Donepezil,SMILES304,SideEffect18,TargetClass10,Pathway3,1
Alzheimer's disease,Gene75,Gefitinib,SMILES108,SideEffect10,TargetClass17,Pathway3,0
Breast Cancer,Gene49,Tamoxifen,SMILES445,SideEffect17,TargetClass10,Pathway9,1
COVID-19,Gene44,Molnupiravir,SMILES123,SideEffect27,TargetClass4,Pathway2,1
Breast Cancer,Gene47,Molnupiravir,SMILES102,SideEffect35,TargetClass18,Pathway9,0
Parkinson's disease,Gene3,Donepezil,SMILES117,SideEffect3,TargetClass18,Pathway1,0
Lung Cancer,Gene59,Gefitinib,SMILES413,SideEffect19,TargetClass6,Pathway9,1
Breast Cancer,Gene85,Trastuzumab,SMILES167,SideEffect20,TargetClass8,Pathway10,1
Breast Cancer,Gene97,Trastuzumab,SMILES333,SideEffect38,TargetClass17,Pathway12,1
Parkinson's disease,Gene87,Carbidopa,SMILES168,SideEffect4,TargetClass6,Pathway12,1
Parkinson's disease,Gene55,Carbidopa,SMILES301,SideEffect28,TargetClass7,Pathway12,1
Depression,Gene97,Sertraline,SMILES164,SideEffect3,TargetClass9,Pathway8,1
Depression,Gene37,Sertraline,SMILES7,SideEffect4,TargetClass5,Pathway8,1
COVID-19,Gene63,Erlotinib,SMILES400,SideEffect16,TargetClass8,Pathway6,0
Breast Cancer,Gene28,Tamoxifen,SMILES211,SideEffect28,TargetClass13,Pathway13,1
Parkinson's disease,Gene73,Carbidopa,SMILES68,SideEffect39,TargetClass5,Pathway7,1
Breast Cancer,Gene99,Tamoxifen,SMILES151,SideEffect12,TargetClass18,Pathway8,1
Parkinson's disease,Gene33,Levodopa,SMILES284,SideEffect32,TargetClass16,Pathway9,1
Breast Cancer,Gene45,Trastuzumab,SMILES374,SideEffect4,TargetClass11,Pathway14,1
Parkinson's disease,Gene21,Carbidopa,SMILES288,SideEffect28,TargetClass15,Pathway3,1
COVID-19,Gene17,Molnupiravir,SMILES181,SideEffect14,TargetClass13,Pathway6,1
Depression,Gene90,Carbidopa,SMILES51,SideEffect40,TargetClass16,Pathway8,0
Breast Cancer,Gene93,Tamoxifen,SMILES105,SideEffect29,TargetClass12,Pathway3,1
Breast Cancer,Gene64,Tamoxifen,SMILES192,SideEffect28,TargetClass8,Pathway4,1
Depression,Gene31,Sertraline,SMILES307,SideEffect27,TargetClass1,Pathway5,1
COVID-19,Gene58,Molnupiravir,SMILES496,SideEffect24,TargetClass13,Pathway6,1
COVID-19,Gene98,Remdesivir,SMILES367,SideEffect24,TargetClass18,Pathway4,1
Type 2 Diabetes,Gene11,Glipizide,SMILES178,SideEffect31,TargetClass15,Pathway9,1
Parkinson's disease,Gene19,Carbidopa,SMILES337,SideEffect26,TargetClass6,Pathway11,1
Breast Cancer,Gene17,Trastuzumab,SMILES113,SideEffect46,TargetClass15,Pathway7,1
Breast Cancer,Gene61,Tamoxifen,SMILES121,SideEffect35,TargetClass12,Pathway10,1
COVID-19,Gene9,Molnupiravir,SMILES407,SideEffect7,TargetClass1,Pathway14,1
Alzheimer's disease,Gene94,Memantine,SMILES168,SideEffect11,TargetClass18,Pathway7,1
Depression,Gene7,Trastuzumab,SMILES169,SideEffect10,TargetClass1,Pathway12,0
Depression,Gene39,Sertraline,SMILES198,SideEffect15,TargetClass6,Pathway7,1
Parkinson's disease,Gene34,Levodopa,SMILES18,SideEffect35,TargetClass18,Pathway14,1
Parkinson's disease,Gene31,Carbidopa,SMILES202,SideEffect49,TargetClass9,Pathway10,1
Parkinson's disease,Gene95,Levodopa,SMILES179,SideEffect3,TargetClass14,Pathway4,1
Alzheimer's disease,Gene55,Carbidopa,SMILES16,SideEffect48,TargetClass4,Pathway7,0
Type 2 Diabetes,Gene72,Metformin,SMILES156,SideEffect45,TargetClass2,Pathway14,1
Alzheimer's disease,Gene55,Molnupiravir,SMILES55,SideEffect14,TargetClass11,Pathway9,0
Depression,Gene64,Tamoxifen,SMILES387,SideEffect5,TargetClass5,Pathway9,0
COVID-19,Gene93,Molnupiravir,SMILES102,SideEffect34,TargetClass5,Pathway3,1
Depression,Gene7,Sertraline,SMILES201,SideEffect8,TargetClass12,Pathway2,1
Parkinson's disease,Gene27,Levodopa,SMILES69,SideEffect20,TargetClass11,Pathway14,1
Lung Cancer,Gene97,Erlotinib,SMILES461,SideEffect1,TargetClass13,Pathway11,1
Alzheimer's disease,Gene24,Donepezil,SMILES38,SideEffect35,TargetClass17,Pathway5,1
Breast Cancer,Gene6,Gefitinib,SMILES107,SideEffect40,TargetClass12,Pathway13,0
Breast Cancer,Gene58,Tamoxifen,SMILES57,SideEffect6,TargetClass14,Pathway14,1
Alzheimer's disease,Gene24,Memantine,SMILES155,SideEffect18,TargetClass18,Pathway2,1
Alzheimer's disease,Gene46,Erlotinib,SMILES360,SideEffect44,TargetClass7,Pathway8,0
Alzheimer's disease,Gene38,Memantine,SMILES75,SideEffect1,TargetClass15,Pathway7,1
Breast Cancer,Gene28,Tamoxifen,SMILES322,SideEffect1,TargetClass9,Pathway6,1
Type 2 Diabetes,Gene38,Metformin,SMILES432,SideEffect24,TargetClass8,Pathway12,1
Alzheimer's disease,Gene46,Memantine,SMILES331,SideEffect13,TargetClass7,Pathway10,1
Depression,Gene67,Fluoxetine,SMILES126,SideEffect12,TargetClass1,Pathway8,1
Alzheimer's disease,Gene31,Fluoxetine,SMILES62,SideEffect34,TargetClass4,Pathway9,0
Breast Cancer,Gene85,Tamoxifen,SMILES109,SideEffect31,TargetClass5,Pathway10,1
Alzheimer's disease,Gene78,Fluoxetine,SMILES476,SideEffect33,TargetClass8,Pathway2,0
Alzheimer's disease,Gene20,Donepezil,SMILES329,SideEffect23,TargetClass4,Pathway12,1
Depression,Gene52,Fluoxetine,SMILES374,SideEffect16,TargetClass9,Pathway1,1
COVID-19,Gene44,Fluoxetine,SMILES432,SideEffect8,TargetClass2,Pathway13,0
Lung Cancer,Gene92,Erlotinib,SMILES165,SideEffect29,TargetClass16,Pathway6,1
Breast Cancer,Gene2,Tamoxifen,SMILES362,SideEffect4,TargetClass19,Pathway1,1
COVID-19,Gene5,Remdesivir,SMILES345,SideEffect18,TargetClass18,Pathway8,1
Type 2 Diabetes,Gene30,Glipizide,SMILES240,SideEffect38,TargetClass7,Pathway8,1
Lung Cancer,Gene1,Gefitinib,SMILES233,SideEffect7,TargetClass5,Pathway9,1
Parkinson's disease,Gene15,Carbidopa,SMILES299,SideEffect16,TargetClass7,Pathway1,1
Alzheimer's disease,Gene85,Donepezil,SMILES18,SideEffect6,TargetClass3,Pathway14,1
Parkinson's disease,Gene92,Carbidopa,SMILES143,SideEffect13,TargetClass17,Pathway14,1
Breast Cancer,Gene44,Tamoxifen,SMILES338,SideEffect42,TargetClass12,Pathway14,1
Lung Cancer,Gene94,Trastuzumab,SMILES58,SideEffect35,TargetClass9,Pathway5,0
Depression,Gene29,Trastuzumab,SMILES491,SideEffect49,TargetClass3,Pathway5,0
Breast Cancer,Gene23,Trastuzumab,SMILES89,SideEffect43,TargetClass19,Pathway5,1
Type 2 Diabetes,Gene94,Glipizide,SMILES248,SideEffect1,TargetClass14,Pathway8,1
Type 2 Diabetes,Gene82,Metformin,SMILES123,SideEffect1,TargetClass3,Pathway3,1
Type 2 Diabetes,Gene28,Gefitinib,SMILES111,SideEffect32,TargetClass12,Pathway13,0
Type 2 Diabetes,Gene48,Tamoxifen,SMILES420,SideEffect28,TargetClass8,Pathway5,0
Lung Cancer,Gene86,Erlotinib,SMILES121,SideEffect4,TargetClass18,Pathway5,1
Alzheimer's disease,Gene41,Memantine,SMILES115,SideEffect5,TargetClass6,Pathway2,1
Depression,Gene34,Donepezil,SMILES67,SideEffect24,TargetClass10,Pathway9,0
Type 2 Diabetes,Gene63,Glipizide,SMILES444,SideEffect19,TargetClass2,Pathway11,1
Breast Cancer,Gene26,Tamoxifen,SMILES236,SideEffect23,TargetClass2,Pathway3,1
Depression,Gene18,Fluoxetine,SMILES343,SideEffect15,TargetClass1,Pathway5,1
Lung Cancer,Gene91,Erlotinib,SMILES58,SideEffect13,TargetClass7,Pathway8,1
Alzheimer's disease,Gene55,Donepezil,SMILES414,SideEffect15,TargetClass4,Pathway7,1
Depression,Gene63,Trastuzumab,SMILES72,SideEffect32,TargetClass16,Pathway1,0
Parkinson's disease,Gene17,Levodopa,SMILES172,SideEffect28,TargetClass14,Pathway5,1
Alzheimer's disease,Gene14,Carbidopa,SMILES53,SideEffect48,TargetClass5,Pathway4,0
COVID-19,Gene4,Remdesivir,SMILES417,SideEffect10,TargetClass4,Pathway13,1
Lung Cancer,Gene25,Gefitinib,SMILES305,SideEffect24,TargetClass1,Pathway8,1
Alzheimer's disease,Gene38,Tamoxifen,SMILES410,SideEffect35,TargetClass15,Pathway5,0
COVID-19,Gene34,Remdesivir,SMILES307,SideEffect41,TargetClass4,Pathway14,1
Alzheimer's disease,Gene65,Donepezil,SMILES380,SideEffect21,TargetClass15,Pathway1,1
Alzheimer's disease,Gene93,Memantine,SMILES114,SideEffect20,TargetClass16,Pathway1,1
Breast Cancer,Gene36,Trastuzumab,SMILES158,SideEffect18,TargetClass2,Pathway1,1
Alzheimer's disease,Gene86,Memantine,SMILES260,SideEffect45,TargetClass14,Pathway4,1
Depression,Gene45,Sertraline,SMILES16,SideEffect37,TargetClass19,Pathway9,1
Parkinson's disease,Gene27,Levodopa,SMILES246,SideEffect17,TargetClass5,Pathway4,1
Depression,Gene89,Sertraline,SMILES205,SideEffect13,TargetClass5,Pathway12,1
Breast Cancer,Gene96,Memantine,SMILES454,SideEffect47,TargetClass16,Pathway4,0
Lung Cancer,Gene34,Gefitinib,SMILES450,SideEffect24,TargetClass14,Pathway9,1
Parkinson's disease,Gene34,Memantine,SMILES364,SideEffect19,TargetClass7,Pathway7,0
Breast Cancer,Gene43,Erlotinib,SMILES17,SideEffect5,TargetClass12,Pathway4,0
Parkinson's disease,Gene95,Levodopa,SMILES316,SideEffect31,TargetClass1,Pathway1,1
Parkinson's disease,Gene98,Levodopa,SMILES145,SideEffect26,TargetClass16,Pathway11,1
Parkinson's disease,Gene2,Carbidopa,SMILES295,SideEffect46,TargetClass16,Pathway11,1
Lung Cancer,Gene31,Gefitinib,SMILES293,SideEffect9,TargetClass11,Pathway13,1
Depression,Gene31,Fluoxetine,SMILES367,SideEffect40,TargetClass16,Pathway3,1
Alzheimer's disease,Gene83,Memantine,SMILES23,SideEffect11,TargetClass2,Pathway7,1
Depression,Gene6,Fluoxetine,SMILES84,SideEffect27,TargetClass11,Pathway5,1
Type 2 Diabetes,Gene89,Remdesivir,SMILES482,SideEffect14,TargetClass4,Pathway6,0
